sequence,v115@LhA8EeA8BeB8EeA8AeG8KeT/IvhFlgBumB3iB5oB8p?ByxB,v115@LhA8EeA8BeB8EeA8AeG8KeT/IvhFlgBCiBeoB5oB8p?BXsB,v115@LhA8EeA8BeB8EeA8AeG8Ke3AJvhFumBaoB5oB0kBTn?BlpB
TILJSZO,O,X,X
TILJSOZ,X,X,X
TILJZSO,O,X,X
TILJZOS,O,X,X
TILJOSZ,X,X,X
TILJOZS,X,X,X
TILSJZO,O,X,X
TILSJOZ,X,X,X
TILSZJO,O,X,X
TILSZOJ,O,X,X
TILSOJZ,X,X,X
TILSOZJ,X,X,X
TILZJSO,O,X,X
TILZJOS,O,X,X
TILZSJO,O,X,X
TILZSOJ,O,X,X
TILZOJS,O,X,X
TILZOSJ,O,X,X
TILOJSZ,X,X,X
TILOJZS,X,X,X
TILOSJZ,X,X,X
TILOSZJ,X,X,X
TILOZJS,X,X,X
TILOZSJ,X,X,X
TIJLSZO,O,X,X
TIJLSOZ,X,X,X
TIJLZSO,O,X,X
TIJLZOS,O,X,X
TIJLOSZ,X,X,X
TIJLOZS,X,X,X
TIJSLZO,X,O,X
TIJSLOZ,X,X,X
TIJSZLO,X,O,X
TIJSZOL,X,O,X
TIJSOLZ,X,X,X
TIJSOZL,X,X,X
TIJZLSO,O,X,X
TIJZLOS,O,X,X
TIJZSLO,X,O,X
TIJZSOL,X,O,X
TIJZOLS,O,X,X
TIJZOSL,X,O,X
TIJOLSZ,X,X,X
TIJOLZS,X,X,X
TIJOSLZ,X,X,X
TIJOSZL,X,X,X
TIJOZLS,X,X,X
TIJOZSL,X,X,X
TISLJZO,X,X,X
TISLJOZ,X,X,X
TISLZJO,X,X,X
TISLZOJ,X,X,X
TISLOJZ,X,X,X
TISLOZJ,X,X,X
TISJLZO,X,X,X
TISJLOZ,X,X,X
TISJZLO,X,X,X
TISJZOL,X,X,X
TISJOLZ,X,X,X
TISJOZL,X,X,X
TISZLJO,X,X,X
TISZLOJ,X,X,X
TISZJLO,X,X,X
TISZJOL,X,X,X
TISZOLJ,X,X,X
TISZOJL,X,X,X
TISOLJZ,X,X,X
TISOLZJ,X,X,X
TISOJLZ,X,X,X
TISOJZL,X,X,X
TISOZLJ,X,X,X
TISOZJL,X,X,X
TIZLJSO,O,X,X
TIZLJOS,O,X,X
TIZLSJO,O,X,X
TIZLSOJ,O,X,X
TIZLOJS,O,X,X
TIZLOSJ,O,X,X
TIZJLSO,O,X,X
TIZJLOS,O,X,X
TIZJSLO,X,O,X
TIZJSOL,X,O,X
TIZJOLS,O,X,X
TIZJOSL,X,O,X
TIZSLJO,X,X,X
TIZSLOJ,X,X,X
TIZSJLO,X,X,X
TIZSJOL,X,X,X
TIZSOLJ,X,X,X
TIZSOJL,X,X,X
TIZOLJS,O,X,X
TIZOLSJ,O,X,X
TIZOJLS,O,X,X
TIZOJSL,X,O,X
TIZOSLJ,X,X,X
TIZOSJL,X,X,X
TIOLJSZ,X,X,X
TIOLJZS,X,X,X
TIOLSJZ,X,X,X
TIOLSZJ,X,X,X
TIOLZJS,X,X,X
TIOLZSJ,X,X,X
TIOJLSZ,X,X,X
TIOJLZS,X,X,X
TIOJSLZ,X,X,X
TIOJSZL,X,X,X
TIOJZLS,X,X,X
TIOJZSL,X,X,X
TIOSLJZ,X,X,X
TIOSLZJ,X,X,X
TIOSJLZ,X,X,X
TIOSJZL,X,X,X
TIOSZLJ,X,X,X
TIOSZJL,X,X,X
TIOZLJS,X,X,X
TIOZLSJ,X,X,X
TIOZJLS,X,X,X
TIOZJSL,X,X,X
TIOZSLJ,X,X,X
TIOZSJL,X,X,X
TLIJSZO,O,X,X
TLIJSOZ,X,X,X
TLIJZSO,O,X,X
TLIJZOS,O,X,X
TLIJOSZ,X,X,X
TLIJOZS,X,X,X
TLISJZO,O,X,X
TLISJOZ,X,X,X
TLISZJO,O,X,X
TLISZOJ,O,X,X
TLISOJZ,X,X,X
TLISOZJ,X,X,X
TLIZJSO,O,X,X
TLIZJOS,O,X,X
TLIZSJO,O,X,X
TLIZSOJ,O,X,X
TLIZOJS,O,X,X
TLIZOSJ,O,X,X
TLIOJSZ,X,X,X
TLIOJZS,X,X,X
TLIOSJZ,X,X,X
TLIOSZJ,X,X,X
TLIOZJS,X,X,X
TLIOZSJ,X,X,X
TLJISZO,O,X,X
TLJISOZ,X,X,X
TLJIZSO,O,X,X
